Date,Time,TICKER,EXPIRY,STRIKE,C/P,SPOT,QTY,PRICE,TYPE,VOLUME,OI,PREMIUM,SECTOR,UNUSUAL,DTX,EVENTS
6/2/17,2017-06-02T22:28:31.056Z,LXRX,6/16/17,15,Call,14.65,900,0.597556,SWEEP,945,312,53780,,FALSE,14,
6/2/17,2017-06-02T22:27:23.982Z,HIMX,6/9/17,7.5,Call,7.71,1000,0.4,SWEEP,2019,161,40000,,FALSE,7,
6/2/17,2017-06-02T22:27:08.836Z,HIMX,6/9/17,7.5,Call,7.69,1000,0.34808,SWEEP,1019,161,34808,,FALSE,7,
6/2/17,2017-06-02T22:16:31.548Z,PCAR,6/16/17,62.5,Put,63.87,1000,0.54765,SWEEP,1010,228,54765,,FALSE,14,
6/2/17,2017-06-02T22:12:56.016Z,WPX,07/17(M),12,Call,10.94,900,0.41,BLOCK,1154,1859,36900,,FALSE,774,
6/2/17,2017-06-02T22:12:50.878Z,GPOR,07/17(M),12.5,Put,13.38,750,0.45,SWEEP,779,346,33750,,FALSE,774,
6/2/17,2017-06-02T21:47:10.901Z,MU,6/9/17,32,Call,31.21,1770,0.32,SWEEP,4969,17646,56640,,FALSE,7,
6/2/17,2017-06-02T21:26:55.424Z,SPY,07/17(M),243,Put,244.13,1000,2.81,BLOCK,15109,11534,281000,,FALSE,774,
6/2/17,2017-06-02T21:17:48.079Z,INTU,07/17(M),135,Put,142.59,739,1,SWEEP,824,169,73900,,FALSE,774,
6/2/17,2017-06-02T21:14:04.213Z,SPY,07/17(M),243,Put,244.16,1000,2.81,SWEEP,14015,11534,281000,,FALSE,774,
6/2/17,2017-06-02T21:12:29.917Z,VXX,6/9/17,13.5,Call,13.14,5866,0.22,SWEEP,10430,9789,129052,,FALSE,7,
6/2/17,2017-06-02T21:07:03.485Z,MNK,6/16/17,45,Put,43.24,1005,2.66886,SWEEP,1005,370,268220,,FALSE,14,
6/2/17,2017-06-02T21:02:43.701Z,SPY,6/9/17,244.5,Call,244.21,900,0.76,SWEEP,11082,3197,68400,,FALSE,7,
6/2/17,2017-06-02T21:02:39.164Z,SPY,6/9/17,244,Put,244.23,900,0.78,SWEEP,12743,2709,70200,,FALSE,7,
6/2/17,2017-06-02T20:54:16.845Z,LEN,07/17(M),52.5,Put,52.81,761,1.57,SWEEP,781,6,119477,,FALSE,774,
6/2/17,2017-06-02T20:52:25.067Z,CNK,6/16/17,40,Call,41.08,1000,1.28,BLOCK,1000,9,128000,,FALSE,14,
6/2/17,2017-06-02T20:49:17.483Z,SPY,07/17(M),243,Put,244.17,1000,2.81,SWEEP,12736,11534,281000,,FALSE,774,
6/2/17,2017-06-02T20:49:12.368Z,SPY,6/9/17,244,Put,244.15,1000,0.81,SWEEP,11680,2709,81000,,FALSE,7,
6/2/17,2017-06-02T20:45:07.215Z,SNAP,01/18(M),27,Put,21.02,931,9,SWEEP,931,568,837900,,FALSE,594,
6/2/17,2017-06-02T20:42:41.736Z,SPY,6/30/17,244,Put,244.24,864,2.34,SWEEP,11065,2107,202176,,FALSE,28,
6/2/17,2017-06-02T20:38:29.544Z,TNA,6/16/17,54,Call,55.5,1000,2.63,SWEEP,1108,1099,263000,,FALSE,14,
6/2/17,2017-06-02T20:34:16.021Z,C,6/16/17,62.5,Call,61.33,993,0.4,BLOCK,1920,28853,39720,,FALSE,14,
6/2/17,2017-06-02T20:34:06.907Z,MSFT,6/16/17,71.5,Call,71.53,1043,0.82,SWEEP,3135,1236,85526,,FALSE,14,
6/2/17,2017-06-02T20:32:54.800Z,MSFT,6/16/17,71.5,Put,71.56,752,0.731396,SWEEP,1301,205,55000,,FALSE,14,
6/2/17,2017-06-02T20:28:19.079Z,QQQ,08/17(M),143,Put,143.15,970,3.30357,SWEEP,2038,440,320446,,FALSE,805,
6/2/17,2017-06-02T20:17:56.807Z,QQQ,6/9/17,143.5,Call,143.1,958,0.53,SWEEP,2252,1624,50774,,FALSE,7,
6/2/17,2017-06-02T20:17:21.013Z,HA,07/17(M),55,Call,51.95,845,1.35,SWEEP,1036,794,114075,,FALSE,774,
6/2/17,2017-06-02T20:14:45.514Z,GLD,6/9/17,121.5,Put,121.53,1136,0.71,SWEEP,2408,253,80656,,FALSE,7,
6/2/17,2017-06-02T20:14:05.164Z,QEP,07/17(M),9,Call,9.73,1555,1.14985,SWEEP,1555,0,178801,,FALSE,774,
6/2/17,2017-06-02T20:10:13.086Z,LEN,1/18/19,55,Call,52.75,5065,6.8,BLOCK,5065,10,3444200,,FALSE,595,
6/2/17,2017-06-02T20:09:42.054Z,LEN,07/17(M),55,Call,52.75,780,0.79,SWEEP,784,46,61620,,FALSE,774,
6/2/17,2017-06-02T20:04:22.894Z,ACHN,07/17(M),5,Put,4.96,750,0.6,BLOCK,851,0,45000,,FALSE,774,
6/2/17,2017-06-02T20:03:29.973Z,TSLA,6/9/17,327.5,Put,341.25,1122,1.53021,SWEEP,2355,295,171689,,FALSE,7,
6/2/17,2017-06-02T19:56:30.726Z,IAG,09/17(M),5,Call,4.47,749,0.349479,SWEEP,794,724,26175,,FALSE,836,
6/2/17,2017-06-02T19:49:40.059Z,SHLD,6/16/17,6.5,Call,7.53,1000,1,BLOCK,1000,222,100000,,FALSE,14,
6/2/17,2017-06-02T19:47:35.333Z,MU,6/9/17,29.5,Put,31.11,750,0.15,SWEEP,1186,1067,11250,,FALSE,7,
6/2/17,2017-06-02T19:44:11.063Z,INTC,07/17(M),34,Call,36.14,2737,2.4,SWEEP,2744,1408,656880,,FALSE,774,
6/2/17,2017-06-02T19:29:02.548Z,AAPL,6/16/17,157.5,Call,154.56,6544,0.79,SWEEP,8777,6272,516976,,FALSE,14,
6/2/17,2017-06-02T19:18:35.924Z,INTC,07/17(M),37,Call,36.17,10000,0.439935,SWEEP,10313,67184,439935,,FALSE,774,
6/2/17,2017-06-02T19:14:05.615Z,XOM,6/9/17,82,Put,79.51,1700,2.5,BLOCK,3566,132,425000,,FALSE,7,
6/2/17,2017-06-02T19:13:37.653Z,ORCL,6/23/17,46.5,Call,45.7,1000,0.68,SWEEP,1000,1298,68000,,FALSE,21,
6/2/17,2017-06-02T19:09:35.472Z,FB,07/17(M),145,Call,152.67,817,9.25,BLOCK,1025,6096,755725,,FALSE,774,
6/2/17,2017-06-02T19:07:08.213Z,IWM,6/30/17,139,Put,140.75,1009,1.46386,SWEEP,1196,1069,147703,,FALSE,28,
6/2/17,2017-06-02T19:06:50.517Z,JKS,6/16/17,19,Call,18.02,1092,0.59881,SWEEP,1937,647,65390,,FALSE,14,
6/2/17,2017-06-02T18:57:36.585Z,SPY,6/30/17,244,Put,244.03,2001,2.48967,SWEEP,9259,2107,498182,,FALSE,28,
6/2/17,2017-06-02T18:56:20.662Z,TECK,01/18(M),24,Call,17.45,1393,1.08838,SWEEP,1705,6402,151611,,FALSE,594,
6/2/17,2017-06-02T18:54:36.446Z,AMZN,6/9/17,1020,Call,1005.89,1009,3.5,SWEEP,1505,366,353150,,FALSE,7,
6/2/17,2017-06-02T18:51:17.483Z,SPY,6/30/17,244,Put,243.93,2000,2.53,SWEEP,7258,2107,505999,,FALSE,28,
6/2/17,2017-06-02T18:45:59.910Z,ABX,6/30/17,17.5,Call,16.41,1250,0.239624,SWEEP,1254,390,29953,,FALSE,28,
6/2/17,2017-06-02T18:27:51.779Z,OAS,6/16/17,10,Call,9.58,1109,0.3,SWEEP,2078,15473,33270,,FALSE,14,
6/2/17,2017-06-02T18:22:15.194Z,SWN,07/17(M),5,Put,5.6,2448,0.25,SWEEP,17022,252,61200,,FALSE,774,
6/2/17,2017-06-02T18:21:06.352Z,SWN,07/17(M),5,Put,5.61,940,0.25,SWEEP,13254,252,23500,,FALSE,774,
6/2/17,2017-06-02T18:15:41.533Z,SWN,07/17(M),5,Put,5.61,2411,0.23,SWEEP,7078,252,55453,,FALSE,774,
6/2/17,2017-06-02T18:15:05.516Z,SWN,07/17(M),5,Put,5.63,752,0.22,SWEEP,4489,252,16544,,FALSE,774,
6/2/17,2017-06-02T18:14:42.675Z,SWN,07/17(M),5,Put,5.63,2269,0.21,SWEEP,3706,252,47649,,FALSE,774,
6/2/17,2017-06-02T18:10:16.727Z,HAL,6/2/17,44.5,Put,44.67,1000,0.11,BLOCK,1130,406,11000,,FALSE,0,
6/2/17,2017-06-02T18:03:23.821Z,PF,07/17(M),65,Call,61.1,1054,1.5,SWEEP,1133,463,158100,,FALSE,774,
